source_excel_row,mineID,site,country_raw,roman_province_raw,region_raw,latitude_raw,longitude_raw,coordinate_in_broad_spain_envelope,include_spain_subset,selection_rule,selection_reason
711,999,Monte Oucedo - Las Peneliñas,Spain,Hispania Tarraconensis,León,42.564687,-6.77063,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
712,1000,Monte Romero,Spain,Hispania Baetica,Huelva,37.78028111,-6.80017225,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
713,1001,Monte Triano,Spain,Hispania Tarraconensis,Bilbao,43.28233686,-3.06484578,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
714,1002,Monte Venero,Spain,Hispania Baetica,Jaén,38.35381938,-3.32958398,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
715,1003,Montefurado,Spain,Hispania Tarraconensis,Lugo,42.395616,-7.201249,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
716,1004,Montefurado: Boca do Monte,Spain,Hispania Tarraconensis,Lugo,42.3914,-7.206688,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
717,1005,Monterroso,Spain,Hispania Tarraconensis,Oviedo,43.127027,-6.689333,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
718,1007,Moreda I,Spain,Hispania Tarraconensis,León,42.728424,-6.728143,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
719,1008,Moreda II,Spain,Hispania Tarraconensis,León,42.727809,-6.73267,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
720,1009,Morla / Olleiro,Spain,Hispania Tarraconensis,León,42.26144846,-6.27072134,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
721,1010,Moros,Spain,Hispania Tarraconensis,Zaragoza,41.39711223,-1.82679945,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
722,1011,Mortecino,Spain,Hispania Baetica,Córdoba,38.38756294,-4.49663869,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
723,1012,Motilla,Spain,Hispania Baetica,Córdoba,38.33311948,-4.84741417,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
724,1013,Murial de Irrondo,Spain,Hispania Tarraconensis,Oviedo,43.170378,-6.63186,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
725,1015,Nava de Ricomalillo,Spain,Hispania Tarraconensis,Toledo,39.66120691,-4.954938589,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
726,1016,Nava del Jadraque,Spain,Hispania Tarraconensis,Guadalajara,41.09139712,-3.13633498,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
727,1017,Navafría,Spain,Hispania Baetica,Córdoba,38.17333312,-4.9498517,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
728,1018,Navalamoheda,Spain,Hispania Baetica,Córdoba,38.17364508,-4.23608769,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
729,1019,Navalasno,Spain,Hispania Baetica,Jaén,38.18870872,-4.08314622,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
730,1020,Navalespino,Spain,Hispania Baetica,Córdoba,38.40152014,-5.53605208,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
731,1021,Navelgas,Spain,Hispania Tarraconensis,Oviedo,43.41262417,-6.538659739,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
732,1022,Navelgas Norte: Mina de Entrepeñas,Spain,Hispania Tarraconensis,Oviedo,43.41262417,-6.538659739,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
733,1023,Navelgas Norte: Mina la Moura,Spain,Hispania Tarraconensis,Oviedo,43.411108,-6.541224,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
734,1024,Nueva Concepción,Spain,Hispania Tarraconensis,Ciudad Real,38.73107427,-4.72278933,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
735,1025,O Foio,Spain,Hispania Tarraconensis,Orense,42.417614,-6.911044,True,True,included_country_exact,"Trimmed, case-insensitive country value equals Spain."
