mineID,technique_code,technique_name,source_column,source_raw_value,status,confirmed_present
602,underground,Underground,techniqueUnderground,1.0,present,True
603,underground,Underground,techniqueUnderground,,missing,
604,underground,Underground,techniqueUnderground,,missing,
605,underground,Underground,techniqueUnderground,0.0,absent,False
606,underground,Underground,techniqueUnderground,0.0,absent,False
607,underground,Underground,techniqueUnderground,1.0,present,True
608,underground,Underground,techniqueUnderground,0.0,absent,False
609,underground,Underground,techniqueUnderground,0.0,absent,False
610,underground,Underground,techniqueUnderground,1.0,present,True
612,underground,Underground,techniqueUnderground,1.0,present,True
613,underground,Underground,techniqueUnderground,1.0,present,True
614,underground,Underground,techniqueUnderground,1.0,present,True
615,underground,Underground,techniqueUnderground,,missing,
616,underground,Underground,techniqueUnderground,0.0,absent,False
617,underground,Underground,techniqueUnderground,0.0,absent,False
618,underground,Underground,techniqueUnderground,0.0,absent,False
619,underground,Underground,techniqueUnderground,0.0,absent,False
620,underground,Underground,techniqueUnderground,0.0,absent,False
623,underground,Underground,techniqueUnderground,0.0,absent,False
624,underground,Underground,techniqueUnderground,0.0,absent,False
625,underground,Underground,techniqueUnderground,0.0,absent,False
626,underground,Underground,techniqueUnderground,,missing,
627,underground,Underground,techniqueUnderground,0.0,absent,False
629,underground,Underground,techniqueUnderground,,missing,
630,underground,Underground,techniqueUnderground,,missing,
631,underground,Underground,techniqueUnderground,,missing,
632,underground,Underground,techniqueUnderground,,missing,
633,underground,Underground,techniqueUnderground,,missing,
634,underground,Underground,techniqueUnderground,,missing,
635,underground,Underground,techniqueUnderground,1.0,present,True
636,underground,Underground,techniqueUnderground,0.0,absent,False
637,underground,Underground,techniqueUnderground,1.0,present,True
638,underground,Underground,techniqueUnderground,,missing,
639,underground,Underground,techniqueUnderground,,missing,
640,underground,Underground,techniqueUnderground,1.0,present,True
641,underground,Underground,techniqueUnderground,,missing,
642,underground,Underground,techniqueUnderground,,missing,
643,underground,Underground,techniqueUnderground,,missing,
644,underground,Underground,techniqueUnderground,0.0,absent,False
645,underground,Underground,techniqueUnderground,1.0,present,True
646,underground,Underground,techniqueUnderground,1.0,present,True
647,underground,Underground,techniqueUnderground,,missing,
648,underground,Underground,techniqueUnderground,0.0,absent,False
649,underground,Underground,techniqueUnderground,0.0,absent,False
650,underground,Underground,techniqueUnderground,1.0,present,True
651,underground,Underground,techniqueUnderground,,missing,
652,underground,Underground,techniqueUnderground,,missing,
653,underground,Underground,techniqueUnderground,0.0,absent,False
654,underground,Underground,techniqueUnderground,,missing,
655,underground,Underground,techniqueUnderground,,missing,
656,underground,Underground,techniqueUnderground,,missing,
657,underground,Underground,techniqueUnderground,,missing,
658,underground,Underground,techniqueUnderground,1.0,present,True
659,underground,Underground,techniqueUnderground,,missing,
660,underground,Underground,techniqueUnderground,,missing,
661,underground,Underground,techniqueUnderground,0.0,absent,False
662,underground,Underground,techniqueUnderground,0.0,absent,False
